,projectname,packagename,classqualifiedname,classname,ori_package,tar_package,ori_CBO,ori_MPC_max,ori_MPC_ave,ori_MPC_sum,tar_CBO,tar_MPC_max,tar_MPC_ave,tar_MPC_sum,label
0,jexcelapi_2_6_12,jxl,jxl.LabelCell,LabelCell,jxl,jxl.biff,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,jexcelapi_2_6_12,jxl,jxl.LabelCell,LabelCell,jxl.biff,jxl,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,jexcelapi_2_6_12,jxl,jxl.CellView,CellView,jxl,jxl.demo,2.0,3.0,0.11538461538461539,3.0,1.0,0.0,0.0,0.0,0.0
3,jexcelapi_2_6_12,jxl,jxl.CellView,CellView,jxl.demo,jxl,1.0,0.0,0.0,0.0,2.0,3.0,0.11538461538461539,3.0,1.0
4,jexcelapi_2_6_12,jxl,jxl.DateFormulaCell,DateFormulaCell,jxl,jxl.biff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,jexcelapi_2_6_12,jxl,jxl.DateFormulaCell,DateFormulaCell,jxl.biff,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,jexcelapi_2_6_12,jxl,jxl.Hyperlink,Hyperlink,jxl,jxl.format,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,jexcelapi_2_6_12,jxl,jxl.Hyperlink,Hyperlink,jxl.format,jxl,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,jexcelapi_2_6_12,jxl,jxl.ErrorCell,ErrorCell,jxl,jxl.biff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,jexcelapi_2_6_12,jxl,jxl.ErrorCell,ErrorCell,jxl.biff,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,jexcelapi_2_6_12,jxl,jxl.Sheet,Sheet,jxl,jxl.write.biff,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
11,jexcelapi_2_6_12,jxl,jxl.Sheet,Sheet,jxl.write.biff,jxl,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
12,jexcelapi_2_6_12,jxl,jxl.NumberFormulaCell,NumberFormulaCell,jxl,jxl.write,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,jexcelapi_2_6_12,jxl,jxl.NumberFormulaCell,NumberFormulaCell,jxl.write,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,jexcelapi_2_6_12,jxl,jxl.SheetSettings,SheetSettings,jxl,jxl.biff.drawing,5.0,15.0,1.5,39.0,0.0,0.0,0.0,0.0,0.0
15,jexcelapi_2_6_12,jxl,jxl.SheetSettings,SheetSettings,jxl.biff.drawing,jxl,0.0,0.0,0.0,0.0,5.0,15.0,1.5,39.0,1.0
16,jexcelapi_2_6_12,jxl,jxl.Workbook,Workbook,jxl,jxl.common,5.0,8.0,0.3076923076923077,8.0,0.0,0.0,0.0,0.0,0.0
17,jexcelapi_2_6_12,jxl,jxl.Workbook,Workbook,jxl.common,jxl,0.0,0.0,0.0,0.0,5.0,8.0,0.3076923076923077,8.0,1.0
18,jexcelapi_2_6_12,jxl,jxl.BooleanFormulaCell,BooleanFormulaCell,jxl,jxl.write,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,jexcelapi_2_6_12,jxl,jxl.BooleanFormulaCell,BooleanFormulaCell,jxl.write,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,jexcelapi_2_6_12,jxl,jxl.FormulaCell,FormulaCell,jxl,jxl.common.log,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,jexcelapi_2_6_12,jxl,jxl.FormulaCell,FormulaCell,jxl.common.log,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,jexcelapi_2_6_12,jxl,jxl.CellFeatures,CellFeatures,jxl,jxl.read.biff,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
23,jexcelapi_2_6_12,jxl,jxl.CellFeatures,CellFeatures,jxl.read.biff,jxl,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
24,jexcelapi_2_6_12,jxl,jxl.DateCell,DateCell,jxl,jxl.read.biff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,jexcelapi_2_6_12,jxl,jxl.DateCell,DateCell,jxl.read.biff,jxl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,jexcelapi_2_6_12,jxl,jxl.StringFormulaCell,StringFormulaCell,jxl,jxl.read.biff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,jexcelapi_2_6_12,jxl,jxl.StringFormulaCell,StringFormulaCell,jxl.read.biff,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,jexcelapi_2_6_12,jxl,jxl.ErrorFormulaCell,ErrorFormulaCell,jxl,jxl.biff.formula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,jexcelapi_2_6_12,jxl,jxl.ErrorFormulaCell,ErrorFormulaCell,jxl.biff.formula,jxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,jexcelapi_2_6_12,jxl,jxl.CellFormat,CellFormat,jxl,jxl.biff,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31,jexcelapi_2_6_12,jxl,jxl.CellFormat,CellFormat,jxl.biff,jxl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32,jexcelapi_2_6_12,jxl,jxl.CellType,CellType,jxl,jxl.common,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,jexcelapi_2_6_12,jxl,jxl.CellType,CellType,jxl.common,jxl,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
34,jexcelapi_2_6_12,jxl,jxl.Range,Range,jxl,jxl.read.biff,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
